OldName,NewName
Russian Federation,Russia
Republic of Korea,South Korea
Democratic People's Republic of Korea,North Korea
Venezuela (Bolivarian Republic of),Venezuela
United Republic of Tanzania,Tanzania
Syrian Arab Republic,Syria
Lao People's Democratic Republic,Laos
Côte d'Ivoire,Ivory Coast
Bolivia (Plurinational State of),Bolivia
Iran (Islamic Republic of),Iran
United States of America,USA
United Kingdom of Great Britain and Northern Ireland,UK
Viet Nam,Vietnam
Micronesia (Federated States of),Micronesia
Republic of Moldova,Moldova
The former Yugoslav republic of Macedonia,Macedonia
Brunei Darussalam,Brunei
Congo,Republic of Congo